,product_id,category,Brand,size,Store_Id,image,Type_ID
820,7248899867,['Snacks'],Torn & Glasser,12 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0007248899867,1
821,7248899860,['Snacks'],Torn & Glasser,12.5 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0007248899860,1
822,85193200401,['Baking Goods'],Stuffed Puffs,8.6 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0085193200401,1
823,87624700636,['Candy'],Treat Street,3.5 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0087624700636,1
824,1111003823,"['Natural & Organic', 'Dairy']",Simple Truth,32 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0001111003823,1
825,4126001014,['Health'],Kroger,12 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0004126001014,1
826,3400099662,['Candy'],Kit Kat,7.6 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0003400099662,1
827,3400012245,['Candy'],Hershey's,11 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0003400012245,1
828,954200485,['Candy'],Lindt,3 ct / 5.1 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0000954200485,1
829,70865600149,"['Natural & Organic', 'Candy']",Green & Black's,3.17 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0070865600149,1
830,30087512121,['Baby'],Enfamil,27.4 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0030087512121,1
831,85736000427,"['Natural & Organic', 'Snacks']",Element,3.5 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0085736000427,1
832,2800013317,['Baby'],Nestle,3.52 lb,3400312,https://www.kroger.com/product/images/xlarge/front/0002800013317,1
833,8819434060,"['Dairy', 'Natural & Organic']",Brown Cow,2 lb,3400312,https://www.kroger.com/product/images/xlarge/front/0008819434060,1
834,7447101504,['Beverages'],Cafe Bustelo,8 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0007447101504,1
835,8819434061,"['Dairy', 'Natural & Organic']",Brown Cow,2 lb,3400312,https://www.kroger.com/product/images/xlarge/front/0008819434061,1
836,63748006411,['Health'],Atkins,4 bottles / 11 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0063748006411,1
837,5000060930,['Breakfast'],Carnation Breakfast Essentials,22 ct / 1.26 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0005000060930,1
838,74759940822,['Candy'],Ghirardelli,6 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0074759940822,1
839,4589310561,"['Beauty', 'Personal Care']",Caress,18 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0004589310561,1
840,5800014037,['Cleaning Products'],Palmolive,20 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0005800014037,1
841,5000060664,['Breakfast'],Carnation Breakfast Essentials,8 ct / 1.31 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0005000060664,1
842,1111061070,['Beverages'],Kroger,30 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0001111061070,1
843,5000060012,['Beverages'],Carnation,13 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0005000060012,1
844,74447300030,"['Natural & Organic', 'Frozen']",SO Delicious,9.2 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0074447300030,1
845,954203189,['Candy'],Lindt,5.1 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0000954203189,1
846,7007467563,['Baby'],Similac,12 bottles / 2 fl oz,3400312,https://www.kroger.com/product/images/xlarge/front/0007007467563,1
847,2800051191,['Baking Goods'],Nestle Toll House,34.5 oz,3400312,https://www.kroger.com/product/images/xlarge/front/0002800051191,1
