,productId,categories,brand,description,size,price.regular,price.promo,Date,Store_Id,image
863,0005000048722,['Baby'],Gerber,Gerber Good Start Comforting Probiotics Milk Based Infant Formula Powder,19.4 oz,25.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0005000048722
864,0003400007761,['Candy'],Hershey's,Hershey Valentine's Miniatures Candy Assortment Milk Chocolate Heart Box,6.4 oz,5.99,5.99,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003400007761
865,0004126037975,['Candy'],Private Selection,Private Selection® Caramel & Milk Chocolate Enrobed Pretzels,4.2 oz,3.99,3.5,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004126037975
866,0004126001015,['Health'],Kroger,Kroger® Mint Flavor Milk of Magnesia,12 fl oz,2.29,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004126001015
867,0004126033242,"['Beauty', 'Personal Care']",Kroger,Kroger® Milk & Honey Bubble Bath,32 fl oz,3.29,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004126033242
868,0003120002966,['Snacks'],Ocean Spray,Ocean Spray Craisins Milk Chocolate Covered Sweetened Dried Cranberries,5 oz,2.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003120002966
869,0031284335302,['Health'],Phillips,Phillips' Milk of Magnesia Original Liquid,12 fl oz,4.29,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0031284335302
870,0002279691891,"['Beauty', 'Personal Care']",OGX,OGX Nourishing + Coconut Milk Shampoo,19.5 fl oz,6.49,6.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0002279691891
871,0004300008510,['Baking Goods'],Hershey's,Hershey's Milk Chocolate Instant Pudding and Pie Filling,3.95 oz,1.29,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004300008510
872,0000954242689,['Candy'],Lindt,Lindt Classic Recipe 55% Cocoa Milk Chocolate Bar,4.1 oz,2.99,2.49,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0000954242689
873,0004000052614,['Candy'],Dove Chocolate,Dove Promises Peanut Butter and Milk Chocolate Candy,7.61 oz,4.19,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004000052614
874,0007007467218,"['Natural & Organic', 'Baby']",PediaSure,PediaSure Organic Milk Chocolate Shakes,6 bottles / 8 fl oz,11.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007007467218
875,0007007467725,['Health'],Ensure,Ensure Max Protein Milk Chocolate Nutrition Shake,12 bottles / 11 fl oz,25.99,24.99,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007007467725
876,0004126930941,['Candy'],Palmer,Palmer Milk CHocolate Flavored Candy in Valentine Dog Box,3.5 oz,1.29,1.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004126930941
877,0003400099962,['Candy'],Reese's,Reese's Milk Chocolate Peanut Butter Hearts & Miniatures,25.2 oz,9.99,9.99,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003400099962
878,0001111089507,['Dairy'],Kroger,Kroger® Part Skim Milk Queso Panela Cheese,10 oz,2.79,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0001111089507
879,0003291700014,"['Beverages', 'Natural & Organic']",Traditional Medicinals,Traditional Medicinals Organic Mother's Milk Tea Bags 16 Count,0.99 oz,4.79,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003291700014
880,0063748009968,['Beverages'],Atkins,Atkins Milk Chocolate Delight Protein-Rich Shake Value Pack,8 ct / 11 fl oz,12.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0063748009968
881,0030087512208,['Baby'],Enfamil,Enfamil NeuroPro EnfaCare Infant Formula Milk-based Powder with Iron,12.8 oz,19.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0030087512208
882,0002800033317,['Baby'],Nestle,Nestle Nido Kinder 1+ Powdered Milk Beverage,12.6 oz,5.79,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0002800033317
883,0007007464297,"['Beverages', 'Health']",Ensure,Ensure Enlive Advanced Milk Chocolate Ready-to-Drink Nutrition Shake,4 bottles / 8 fl oz,9.39,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007007464297
884,0073525701324,"['International', 'Baking Goods']",D'Gari,D'Gari Vanilla Gelatin Dessert Milk Mix,4.2 oz,0.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0073525701324
885,0007726006683,['Candy'],Russell Stover,Russell Stover Assorted Creams Milk & Dark Chocolate,9.4 oz,9.99,9.99,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007726006683
886,0000954242688,['Candy'],Lindt,Lindt Classic Recipe 45% Cocoa Milk Chocolate Bar,4.1 oz,2.99,2.49,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0000954242688
887,0000954204352,['Candy'],Lindt,Lindt Les Grandes Milk Chocolate with Hazelnuts,5.3 oz,5.49,4.5,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0000954204352
888,0003700097478,"['Beauty', 'Personal Care']",Olay,Olay Hydrating Clean Almond Milk Body Wash for Women,22 fl oz,6.49,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003700097478
889,0001111089503,['Dairy'],Kroger,Kroger® Part Skim Milk Queso Cotija,10 oz,2.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0001111089503
890,0000834674061,['Health'],SlimFast,SlimFast Keto Ready to Drink Creamy Milk Chocolate Meal Replacement Shakes 4 Count,4 bottles / 11 fl oz,9.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0000834674061
891,0005849671226,['Pet Care'],Whiskas,Whiskas Cat Milk,3 ct / 6.75 fl oz,2.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0005849671226
892,0003400099982,['Candy'],Hershey's,Hershey's Miniatures Chocolate Candy Assortment Party Pack,35 oz,11.99,8.99,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003400099982
893,0019067900001,"['Beauty', 'Personal Care']",Herbal Essences,Herbal Essences bio:renew Coconut Milk Hydrating Shampoo,13.5 fl oz,5.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0019067900001
894,0085361000373,['Candy'],Cocomels,Cocomel Sea Salt Coconut Milk Caramels Bites,3.5 oz,4.99,4.69,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0085361000373
895,0079386653002,['Adult Beverage'],Left Hand Brewing Co.,Left Hand Brewing Co. Nitro Milk Stout,6 bottles / 12 fl oz,11.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0079386653002
896,0073525701323,"['Baking Goods', 'International']",D'Gari,D'Gari Eggnog Gelatin Dessert Milk Mix,4.2 oz,0.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0073525701323
897,0033160414032,['Health'],Nature Made,Nature Made Milk Thistle Capsules 140mg,50 ct,11.79,11.79,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0033160414032
898,0003400040280,['Candy'],Hershey's,Hershey's Milk Chocolate Reese's Pieces Candy Bar,4.6 oz,1.79,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003400040280
899,0007431233491,['Health'],Nature's Bounty,Nature’s Bounty Milk Thistle Standardized Extract Capsules 175mg 100 Count,100 ct,16.79,16.79,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007431233491
900,0019067900011,"['Beauty', 'Personal Care']",Herbal Essences,Herbal Essences bio:renew Coconut Milk Hydrating Conditioner,13.5 fl oz,5.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0019067900011
901,0081106801197,"['Beauty', 'Personal Care']",Dr Teal's,Dr Teal's Epsom Salt Soften & Nourish Soaking Solution With Milk & Honey,3 lb,5.49,4.99,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0081106801197
902,0085518800398,['Candy'],Justin's,Justin's Organic Mini Milk Chocolate Peanut Butter Cups,4.7 oz,5.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0085518800398
903,0030087512127,['Baby'],Enfamil,Enfamil Milk-based Baby Formula with Iron Powder Can,29.4 oz,34.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0030087512127
904,0005000026587,['Baby'],Gerber,Gerber Good Start Everyday Probiotics Milk Based Infant Formula,20 oz,25.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0005000026587
905,0007726004414,['Candy'],Russell Stover,Russell Stover Assorted Milk & Dark Chocolates,4.6 oz,4.99,3.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007726004414
906,0007007467565,['Baby'],Similac,Similac Pro-Sensitive HMO Milk-Based Ready to Feed Infant Formula Bottles Value Pack,12 bottles / 2 fl oz,12.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007007467565
907,0003700074365,"['Personal Care', 'Beauty']",Olay,Olay Almond Milk Beauty Bars for Women,6 bars / 3.75 oz,5.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0003700074365
